ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
1,140733183194072,0,4,51,0,55,55,4,51,0,55,55,55
5,140733183194064,0,4,198,0,202,202,4,198,0,202,202,128
9,140733183194056,0,4,198,0,202,202,4,198,0,202,202,153
13,140733183194048,0,4,198,0,202,202,4,198,0,202,202,165
17,140733183194040,0,4,197,0,201,201,4,198,0,202,202,172
21,140733183194032,0,4,198,0,202,202,4,198,0,202,202,177
25,140733183194024,0,4,198,0,202,202,4,198,0,202,202,180
29,140441664757360,0,4,197,0,201,201,4,198,0,202,202,183
33,140441664756888,0,4,196,0,200,200,4,198,0,202,202,185
37,140441664757760,0,4,197,0,201,201,4,198,0,202,202,186
