ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
3,140733183194072,0,12,145,0,157,157,12,145,0,157,157,157
7,140733183194064,0,4,198,0,202,202,12,198,0,202,202,179
11,140733183194056,0,4,198,0,202,202,12,198,0,202,202,187
15,140733183194048,0,4,198,0,202,202,12,198,0,202,202,190
19,140733183194040,0,4,197,0,201,201,12,198,0,202,202,192
23,140733183194032,0,4,198,0,202,202,12,198,0,202,202,194
27,140733183194024,0,4,198,0,202,202,12,198,0,202,202,195
31,140441664757360,0,4,197,0,201,201,12,198,0,202,202,196
35,140441664756888,0,4,196,0,200,200,12,198,0,202,202,196
39,140441664757760,0,4,197,0,201,201,12,198,0,202,202,197
